MidDate,Firm,Brand,@TPP,LNP FP,ALP FP,GRN FP,ONP FP,NXT FP,UAP FP,DEM FP,DLP FP,OTH FP,GLApp,GLDis,Comments
1975-07-30,F2F Morgan,,#N/A,60,36,#N/A,#N/A,#N/A,#N/A,#N/A,2,2,,,
1975-08-27,F2F Morgan,,#N/A,57,37,#N/A,#N/A,#N/A,#N/A,#N/A,4,2,,,
1975-09-10,F2F Morgan,,#N/A,59,34,#N/A,#N/A,#N/A,#N/A,#N/A,3,4,,,
1975-09-24,F2F Morgan,,#N/A,59,35,#N/A,#N/A,#N/A,#N/A,#N/A,3,3,,,
1975-10-08,F2F Morgan,,#N/A,56,39,#N/A,#N/A,#N/A,#N/A,#N/A,2,3,,,
1975-10-19,F2F Morgan,,#N/A,52,43,#N/A,#N/A,#N/A,#N/A,#N/A,2,3,,,
1975-10-26,F2F Morgan,,#N/A,50,44,#N/A,#N/A,#N/A,#N/A,#N/A,2,4,,,
1975-11-01,F2F Morgan,,#N/A,50,43,#N/A,#N/A,#N/A,#N/A,#N/A,3,4,,,
1975-11-08,F2F Morgan,,#N/A,46,47,#N/A,#N/A,#N/A,#N/A,#N/A,4,3,,,
1975-11-15,F2F Morgan,,#N/A,49,44,#N/A,#N/A,#N/A,#N/A,#N/A,2,5,,,
1975-11-22,F2F Morgan,,#N/A,51,42,#N/A,#N/A,#N/A,#N/A,#N/A,1,6,,,
1975-11-29,F2F Morgan,,#N/A,55,42,#N/A,#N/A,#N/A,#N/A,#N/A,1,2,,,
1975-12-06,F2F Morgan,,#N/A,57,41,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,,,
1976-01-17,F2F Morgan,,#N/A,54,38,#N/A,#N/A,#N/A,#N/A,#N/A,2,6,,,
1976-02-04,F2F Morgan,,#N/A,51,41,#N/A,#N/A,#N/A,#N/A,#N/A,2,6,,,
1976-02-18,F2F Morgan,,#N/A,49,42,#N/A,#N/A,#N/A,#N/A,#N/A,3,6,,,
1976-03-03,F2F Morgan,,#N/A,49,41,#N/A,#N/A,#N/A,#N/A,#N/A,3,7,,,
1976-03-17,F2F Morgan,,#N/A,52,40,#N/A,#N/A,#N/A,#N/A,#N/A,2,5,,,
1976-03-31,F2F Morgan,,#N/A,50,41,#N/A,#N/A,#N/A,#N/A,#N/A,2,7,,,
1976-04-14,F2F Morgan,,#N/A,51,41,#N/A,#N/A,#N/A,#N/A,#N/A,2,6,,,
1976-04-28,F2F Morgan,,#N/A,48,44,#N/A,#N/A,#N/A,#N/A,#N/A,2,6,,,
1976-05-12,F2F Morgan,,#N/A,47,46,#N/A,#N/A,#N/A,#N/A,#N/A,3,4,,,
1976-05-26,F2F Morgan,,#N/A,50,44,#N/A,#N/A,#N/A,#N/A,#N/A,2,4,,,
1976-06-09,F2F Morgan,,#N/A,50,44,#N/A,#N/A,#N/A,#N/A,#N/A,2,4,,,
1976-06-23,F2F Morgan,,#N/A,50,44,#N/A,#N/A,#N/A,#N/A,#N/A,1,5,,,
1976-07-07,F2F Morgan,,#N/A,51,42,#N/A,#N/A,#N/A,#N/A,#N/A,2,5,,,
1976-07-21,F2F Morgan,,#N/A,50,44,#N/A,#N/A,#N/A,#N/A,#N/A,2,4,,,
1976-08-04,F2F Morgan,,#N/A,47,45,#N/A,#N/A,#N/A,#N/A,#N/A,3,5,,,
1976-08-18,F2F Morgan,,#N/A,49,43,#N/A,#N/A,#N/A,#N/A,#N/A,3,5,,,
1976-09-01,F2F Morgan,,#N/A,51,44,#N/A,#N/A,#N/A,#N/A,#N/A,2,3,,,
1976-09-15,F2F Morgan,,#N/A,51,43,#N/A,#N/A,#N/A,#N/A,#N/A,2,4,,,
1976-09-29,F2F Morgan,,#N/A,50,43,#N/A,#N/A,#N/A,#N/A,#N/A,2,5,,,
1976-10-13,F2F Morgan,,#N/A,49,47,#N/A,#N/A,#N/A,#N/A,#N/A,2,3,,,
1976-10-27,F2F Morgan,,#N/A,50,42,#N/A,#N/A,#N/A,#N/A,#N/A,2,6,,,
1976-11-10,F2F Morgan,,#N/A,47,45,#N/A,#N/A,#N/A,#N/A,#N/A,3,5,,,
1976-11-24,F2F Morgan,,#N/A,49,43,#N/A,#N/A,#N/A,#N/A,#N/A,3,5,,,
1976-12-08,F2F Morgan,,#N/A,47,45,#N/A,#N/A,#N/A,#N/A,#N/A,2,6,,,
1976-12-18,F2F Morgan,,#N/A,45,50,#N/A,#N/A,#N/A,#N/A,#N/A,2,3,,,
1977-01-19,F2F Morgan,,#N/A,49,43,#N/A,#N/A,#N/A,#N/A,#N/A,2,5,,,
1977-02-02,F2F Morgan,,#N/A,44,47,#N/A,#N/A,#N/A,#N/A,#N/A,2,7,,,
1977-02-16,F2F Morgan,,#N/A,45,47,#N/A,#N/A,#N/A,#N/A,#N/A,2,5,,,
1977-03-03,F2F Morgan,,#N/A,49,45,#N/A,#N/A,#N/A,#N/A,#N/A,1,5,,,
1977-03-16,F2F Morgan,,#N/A,47,46,#N/A,#N/A,#N/A,#N/A,#N/A,2,5,,,
1977-03-30,F2F Morgan,,#N/A,48,43,#N/A,#N/A,#N/A,#N/A,#N/A,3,6,,,
1977-04-13,F2F Morgan,,#N/A,47,44,#N/A,#N/A,#N/A,#N/A,#N/A,3,6,,,
1977-04-27,F2F Morgan,,#N/A,47,45,#N/A,#N/A,#N/A,#N/A,#N/A,2,6,,,
1977-05-11,F2F Morgan,,#N/A,44,46,#N/A,#N/A,#N/A,#N/A,#N/A,3,7,,,
1977-05-25,F2F Morgan,,#N/A,44,43,#N/A,#N/A,#N/A,#N/A,4,3,6,,,
1977-06-08,F2F Morgan,,#N/A,42,43,#N/A,#N/A,#N/A,#N/A,7,3,5,,,
1977-06-22,F2F Morgan,,#N/A,44,41,#N/A,#N/A,#N/A,#N/A,7,3,5,,,
1977-07-06,F2F Morgan,,#N/A,44,41,#N/A,#N/A,#N/A,#N/A,7,2,6,,,
1977-07-20,F2F Morgan,,#N/A,41,47,#N/A,#N/A,#N/A,#N/A,6,3,3,,,
1977-08-03,F2F Morgan,,#N/A,43,44,#N/A,#N/A,#N/A,#N/A,6,3,4,,,
1977-08-13,F2F Morgan,,#N/A,43,44,#N/A,#N/A,#N/A,#N/A,7,3,3,,,
1977-08-24,F2F Morgan,,#N/A,40,45,#N/A,#N/A,#N/A,#N/A,8,2,5,,,
1977-09-07,F2F Morgan,,#N/A,42,44,#N/A,#N/A,#N/A,#N/A,7,2,5,,,
1977-09-21,F2F Morgan,,#N/A,43,43,#N/A,#N/A,#N/A,#N/A,7,3,4,,,
1977-10-05,F2F Morgan,,#N/A,44,43,#N/A,#N/A,#N/A,#N/A,6,3,4,,,
